Pipeline,Hardware,Build,Platform,OS,buildinfo.project,buildinfo.type,concurrency,buildinfo.time,Ignore?,Machine,datetime,buildinfo.command.0,buildinfo.command.1,VM type,storage,environment.release,environment.initial_cpu.physical_cores,environment.initial_cpu.total_cores,environment.initial_cpu.frequency,environment.initial_memory.total
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,audiokit_macoswithPython,Swift,0,129.182,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,8,Orka,Catalina,audiokit_macoswithPython,Swift,0,129.441,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,9,Orka,Catalina,audiokit_macoswithPython,Swift,0,136.253,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,10,Orka,Catalina,audiokit_macoswithPython,Swift,0,143.665,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,brave_ioswithPython,Swift,0,114.984,,macpro-5,SatMay30134937PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,3,Orka,Catalina,brave_ioswithPython,Swift,0,113.394,,macpro-5,SatMay30134937PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,4,Orka,Catalina,brave_ioswithPython,Swift,0,111.486,,macpro-5,SatMay30134937PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,brave_ioswithPython,Swift,0,113.435,,macpro-5,SatMay30134937PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,brave_ioswithPython,Swift,0,111.821,,macpro-5,SatMay30134937PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,brave_ioswithPython,Swift,0,111.5,,macpro-5,SatMay30134937PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
